Sam	Sam Base/E
The team is in a slump and you take the team out for refreshment. Talk with Jang to set some simple rules.	
	
Teddy	
Teddy is wondering why the team is doing so well recently. Pick an answer.	
After a meeting, Teddy's eyes met yours a several times and Teddy asks if he has something on his face.	
With a serious look on his face, Teddy warns you to go to the bathroom before the match.	
Preparing for the press conference, you're talking with Teddy on which player you think has the brightest future. What will you say?	
Teddy is worried that he has to face demons, black holes and other dangerous things. What should we tell him?	
Teddy is making a scene about the women's uniform and underwear disappearing. Let's talk to him.	
Teddy is asking if you have a special person who you would like to share happy moments with. Let's give him an answer.	
You find Teddy being very excited after performing an awesome play. How will you react?	
Teddy is having trouble focusing on the match. Let's help him out.	
Teddy is questioning Kuma's status as a Gate Keeper.	
Teddy doesn't like the new team advertisement video.	
It's Teddy's birthday. Let's give him a present.	
You see Teddy's opponent trash talking and smirking towards Teddy. What should we do?	
The team is going to go shop. Which group will you join?	
You hear that the opponent team's ace, who is also Teddy's rival, has been severely injured and is in the hospital. What should you say to him?	
Teddy comes to you and says that he has to leave the team because of personal reasons. What should we say?	
Teddy is getting slow on the field and this is causing trouble. Let's talk with Teddy.	
Teddy is telling a story about how an old kingdom in Valhalla was doomed because of the king.	
You got a couple of tickets to Veronica's live concert. Teddy seems to be interested.	
Teddy says he wants to cry because the goal keeper on the other team just won't go down no matter how many shots he makes.	
Teddy is worried about the team's poor performance. Let's go talk to him.	
Teddy is curious about the Galaxy League. What answer will help him?	
Teddy wants to hear about your plans on training the new players. What should we answer?	
Teddy is being sentimental about how soccer, which was supposed to be a one time thing, became his life. Let's talk with him.	
Teddy is asking what to buy in the souvenir shop. Let's give him an opinion.	
Teddy is asking who you think of first when you win a match. Let's answer.	
This match will be held on Earth. We still have some time. What do you want to do?	
Teddy says that Hiro, a member of the Einherjar, doesn't remember why he was revived.	
The rain has messed up the field and the enemy team seems to be determined to crush your team.	
Teddy seems to be curious about Bora's covered eye. What should we answer?	
Ogre's pony tail slapped Teddy in the face!	
It's a throwing chance, but the opponent team player suddenly jumps in joy saying his baby brother is born. What should you do?	
Teddy is suddenly showing massive improvement in his performance. He must've learned something during a match.	
Teddy says that the Swirlies are missing.	
Teddy says she forgot to use her skill points before entering the match. What should we say to him?	
You witness Fontus, the most violent and powerful creature in the universe, flying the night sky in a Santa costume.	
Teddy picked up a diary. It says Bell on the cover.	
Sorrow suddenly flies off after seeing a shiny object in the sky.	
Teddy is irritated because her opponent has the attribute advantage over her.	
Teddy thinks Nana on the other team actually isn't a raccoon.	
Teddy is wondering why the team is doing so well recently. Pick an answer.	
After a meeting, Teddy's eyes met yours a several times and Teddy asks if he has something on his face.	
With a serious look on his face, Teddy warns you to go to the bathroom before the match.	
Preparing for the press conference, you're talking with Teddy on which player you think has the brightest future. What will you say?	
Teddy is worried that he has to face demons, black holes and other dangerous things. What should we tell him?	
Teddy is making a scene about the women's uniform and underwear disappearing. Let's talk to him.	
Teddy is asking if you have a special person who you would like to share happy moments with. Let's give him an answer.	
You find Teddy being very excited after performing an awesome play. How will you react?	
Teddy is having trouble focusing on the match. Let's help him out.	
Teddy is questioning Kuma's status as a Gate Keeper.	
Teddy doesn't like the new team advertisement video.	
It's Teddy's birthday. Let's give him a present.	
You see Teddy's opponent trash talking and smirking towards Teddy. What should we do?	
The team is going to go shop. Which group will you join?	
You hear that the opponent team's ace, who is also Teddy's rival, has been severely injured and is in the hospital. What should you say to him?	
Teddy comes to you and says that he has to leave the team because of personal reasons. What should we say?	
Teddy is getting slow on the field and this is causing trouble. Let's talk with Teddy.	
Teddy is telling a story about how an old kingdom in Valhalla was doomed because of the king.	
You got a couple of tickets to Veronica's live concert. Teddy seems to be interested.	
Teddy says he wants to cry because the goal keeper on the other team just won't go down no matter how many shots he makes.	
Teddy is worried about the team's poor performance. Let's go talk to him.	
Teddy is curious about the Galaxy League. What answer will help him?	
Teddy wants to hear about your plans on training the new players. What should we answer?	
Teddy is being sentimental about how soccer, which was supposed to be a one time thing, became his life. Let's talk with him.	
Teddy is asking what to buy in the souvenir shop. Let's give him an opinion.	
Teddy is asking who you think of first when you win a match. Let's answer.	
This match will be held on Earth. We still have some time. What do you want to do?	
Teddy says that Hiro, a member of the Einherjar, doesn't remember why he was revived.	
The rain has messed up the field and the enemy team seems to be determined to crush your team.	
Teddy seems to be curious about Bora's covered eye. What should we answer?	
Ogre's pony tail slapped Teddy in the face!	
It's a throwing chance, but the opponent team player suddenly jumps in joy saying his baby brother is born. What should you do?	
Teddy is suddenly showing massive improvement in his performance. He must've learned something during a match.	
Teddy says that the Swirlies are missing.	
Teddy says she forgot to use her skill points before entering the match. What should we say to him?	
You witness Fontus, the most violent and powerful creature in the universe, flying the night sky in a Santa costume.	
Teddy picked up a diary. It says Bell on the cover.	
Sorrow suddenly flies off after seeing a shiny object in the sky.	
Teddy is irritated because her opponent has the attribute advantage over her.	
Teddy thinks Nana on the other team actually isn't a raccoon.	
	
Akane	
Akane is asking about the team's goal of this season. What should you tell her?	
Akane is asking about my ideal type of person. Should be careful about answering this...	
Akane seems to be thinking that the team has already become the best in the universe. She seems a bit too carried away. What should you do?	
Akane is arrogantly looking down at the other team. Let's stop her from causing any problems.	
Does one have to make intentional fouls in order to win? Let's give her some advice.	
Akane is having trouble deciding a name for her special move. Her options are ''Infinity Illusion Shot'', ''11th Dimension Ultra Gravity Shot'', ''Astral Space Shot'', and a few more.	
Akane is all alone in the locker room worrying about the fate of the universe. Let's go talk to her.	
Akane is making a scene. She'd rather jump into space than to be eaten alive by vicious aliens.	
Akane is blaming the team for their pass mistakes and is questioning their soccer skills.	
Akane is complaining that it's boring to play only soccer every day. What should we say to her?	
It's before the 2nd half, and Akane is complaining that we're up against an opponent that's too strong.	
You forgot to lock Akane and almost used her as training material! She looks very upset!	
Akane is confused that she won the MVP. What should you tell him?	
Akane is talking with the team about what they would be doing if they didn't start soccer. Let's join them.	
The team is saying bad things about Akane for skipping practice. Time to intervene.	
Akane is mesmerized by the majestic scenery of a dragon flying in the skies of the Iron Canyon.	
Akane seems to be worried about one of the team members that left after a quarrel. Let's talk to her.	
On a day off, Akane is looking at a passing couple with jealous eyes.	
Akane is asking you about the one thing you want the most in the universe. What do you tell him?	
There's been a mistake. The team's uniform is mixed up with the festival costumes. What should you tell the team?	
Akane seems to be lost after having a good match while her fortune-telling said things would go wrong. Let's talk to her.	
With a serious face, Akane is asking what the true meaning of competition is. Let's give her an answer.	
Akane came to you after the match, and says she's disappointed at the team's boring strategy. What should we say?	
Akane is curious of the whereabouts of the managers that are nowhere to be seen during the match. Let's give her an answer.	
The team is having a good run and Akane is sure that winning the League is a matter of time.	
Akane seems to be very confused of how a small soccer ball can change the fate of the universe.	
Akane seems to be upset about losing a body check against her opponent.	
Akane is asking what the conditions of a team ace are with a serious face. Let's talk with her.	
Akane is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
Akane plans to continue playing soccer even after the Galaxy League ends. Let's talk with her.	
It's a hard match and your team is losing. Talk with Akane and talk about what to do.	
Akane seems to be lost. She says she no longer hates the rival team.	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
Akane's form has been improving rapidly. She says she can't wait for the next match. What should we say to her?	
During a match, Akane bumped into a teammate and knocked the player out. She seems depressed. What should we say to cheer her up?	
Akane is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to her.	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
Akane is suddenly taking interest in who Shootmeister actually is. What should we say?	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. Akane is starting to get intimidated.	
Akane is asking about the team's goal of this season. What should you tell her?	
Akane is asking about my ideal type of person. Should be careful about answering this...	
Akane seems to be thinking that the team has already become the best in the universe. She seems a bit too carried away. What should you do?	
Akane is arrogantly looking down at the other team. Let's stop her from causing any problems.	
Does one have to make intentional fouls in order to win? Let's give her some advice.	
Akane is having trouble deciding a name for her special move. Her options are ''Infinity Illusion Shot'', ''11th Dimension Ultra Gravity Shot'', ''Astral Space Shot'', and a few more.	
Akane is all alone in the locker room worrying about the fate of the universe. Let's go talk to her.	
Akane is making a scene. She'd rather jump into space than to be eaten alive by vicious aliens.	
Akane is blaming the team for their pass mistakes and is questioning their soccer skills.	
Akane is complaining that it's boring to play only soccer every day. What should we say to her?	
It's before the 2nd half, and Akane is complaining that we're up against an opponent that's too strong.	
You forgot to lock Akane and almost used her as training material! She looks very upset!	
Akane is confused that she won the MVP. What should you tell him?	
Akane is talking with the team about what they would be doing if they didn't start soccer. Let's join them.	
The team is saying bad things about Akane for skipping practice. Time to intervene.	
Akane is mesmerized by the majestic scenery of a dragon flying in the skies of the Iron Canyon.	
Akane seems to be worried about one of the team members that left after a quarrel. Let's talk to her.	
On a day off, Akane is looking at a passing couple with jealous eyes.	
Akane is asking you about the one thing you want the most in the universe. What do you tell him?	
There's been a mistake. The team's uniform is mixed up with the festival costumes. What should you tell the team?	
Akane seems to be lost after having a good match while her fortune-telling said things would go wrong. Let's talk to her.	
With a serious face, Akane is asking what the true meaning of competition is. Let's give her an answer.	
Akane came to you after the match, and says she's disappointed at the team's boring strategy. What should we say?	
Akane is curious of the whereabouts of the managers that are nowhere to be seen during the match. Let's give her an answer.	
The team is having a good run and Akane is sure that winning the League is a matter of time.	
Akane seems to be very confused of how a small soccer ball can change the fate of the universe.	
Akane seems to be upset about losing a body check against her opponent.	
Akane is asking what the conditions of a team ace are with a serious face. Let's talk with her.	
Akane is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
Akane plans to continue playing soccer even after the Galaxy League ends. Let's talk with her.	
It's a hard match and your team is losing. Talk with Akane and talk about what to do.	
Akane seems to be lost. She says she no longer hates the rival team.	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
Akane's form has been improving rapidly. She says she can't wait for the next match. What should we say to her?	
During a match, Akane bumped into a teammate and knocked the player out. She seems depressed. What should we say to cheer her up?	
Akane is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to her.	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
Akane is suddenly taking interest in who Shootmeister actually is. What should we say?	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. Akane is starting to get intimidated.	
	
Xiao Long	
The team made it up to the semi-finals after counting the goal differences. Xiao Long asks how you feel. How should we answer?	
Xiao Long suggests that we have a team dinner to lighten things up. What will be your reaction?	
Xiao Long is saying that his teammates are what keeps him going.	
Xiao Long has shown outstanding performance on both the offensive and defensive side. He is asking for your evaluation on his plays. Let's give him an answer.	
As Xiao Long said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to him.	
The crowd is cheering for Xiao Long. Xiao Long seems to find this situation new and a bit uncomfortable. Let's help him out.	
Xiao Long is impressed by the help he received from the elementals. Let's talk to him.	
Xiao Long was watching penguins play soccer and suddenly decided to raise a pet penguin himself. Let's talk to him.	
The team will not have a match for some time. Xiao Long asks you about your plan.	
It's a very intense match and Xiao Long falls on the ground, but a player on the other team helps Xiao Long up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Xiao Long having an intense staring contest with the captain of the opposing team. What should we say?	
Xiao Long is surrounded by fans and seems to be overwhelmed. Let's talk to him.	
Xiao Long scored a hat trick and led the team to a complete victory! Congratulate him!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Xiao Long.	
Xiao Long falls to the ground after clashing with the opponent. What should we say to him?	
Xiao Long lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Xiao Long. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Xiao Long is curious and wants to take a look.	
Xiao Long brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
Xiao Long is looking excited and asks how the match went.	
This was the worst game in your entire life...Xiao Long comes to you to cheer you up.	
You're talking to Xiao Long about what you would do if the world ends tomorrow. Let's tell him your answer.	
Xiao Long is worried about all of the powerful beings that will be competing in the Galaxy League. Let's say something to him.	
Xiao Long is training hard to become scouted like the players that moved to teams that offered better conditions. Let's give him some advice.	
Xiao Long isn't pleased with the team's recent plays. He feels that the plays have become somewhat repetitive and dull.	
With back to back matches, the team is exhausted. Let's talk to Xiao Long for solutions.	
The team manger ran away with all of the team's money. What should we do?	
You were taking a walk in the Nadir forest with Xiao Long and came across Enthia standing in the middle of a burnt part of the forest.	
Nari is dancing and singing a song about the galaxy.	
According to Xiao Long's words, Tyler went to school 1 year earlier than William.	
Xiao Long thinks he knows who Lynbell's brother is. What should we do?	
Xiao Long won a trip around the world from a radio event!	
Xiao Long suggests that we visit the Celestial Castle, which is a place that the baby angels live.	
The opponent team barges into the field and mocks your team saying your team is better off playing foot volleyball.	
You're sick and in bed when Xiao Long and the teammates come to cheer you up. What will your response be?	
The match and the concert that Xiao Long was looking for start at the same time...	
Xiao Long wonders why Castor twitches whenever he sees Beatrice.	
MX54 Butcher is closing in on a cat with a suspicious smile.	
The match started and Xiao Long is standing still doing nothing.	
The team made it up to the semi-finals after counting the goal differences. Xiao Long asks how you feel. How should we answer?	
Xiao Long suggests that we have a team dinner to lighten things up. What will be your reaction?	
Xiao Long is saying that his teammates are what keeps him going.	
Xiao Long has shown outstanding performance on both the offensive and defensive side. He is asking for your evaluation on his plays. Let's give him an answer.	
As Xiao Long said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to him.	
The crowd is cheering for Xiao Long. Xiao Long seems to find this situation new and a bit uncomfortable. Let's help him out.	
Xiao Long is impressed by the help he received from the elementals. Let's talk to him.	
Xiao Long was watching penguins play soccer and suddenly decided to raise a pet penguin himself. Let's talk to him.	
The team will not have a match for some time. Xiao Long asks you about your plan.	
It's a very intense match and Xiao Long falls on the ground, but a player on the other team helps Xiao Long up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Xiao Long having an intense staring contest with the captain of the opposing team. What should we say?	
Xiao Long is surrounded by fans and seems to be overwhelmed. Let's talk to him.	
Xiao Long scored a hat trick and led the team to a complete victory! Congratulate him!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Xiao Long.	
Xiao Long falls to the ground after clashing with the opponent. What should we say to him?	
Xiao Long lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Xiao Long. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Xiao Long is curious and wants to take a look.	
Xiao Long brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
Xiao Long is looking excited and asks how the match went.	
This was the worst game in your entire life...Xiao Long comes to you to cheer you up.	
You're talking to Xiao Long about what you would do if the world ends tomorrow. Let's tell him your answer.	
Xiao Long is worried about all of the powerful beings that will be competing in the Galaxy League. Let's say something to him.	
Xiao Long is training hard to become scouted like the players that moved to teams that offered better conditions. Let's give him some advice.	
Xiao Long isn't pleased with the team's recent plays. He feels that the plays have become somewhat repetitive and dull.	
With back to back matches, the team is exhausted. Let's talk to Xiao Long for solutions.	
The team manger ran away with all of the team's money. What should we do?	
You were taking a walk in the Nadir forest with Xiao Long and came across Enthia standing in the middle of a burnt part of the forest.	
Nari is dancing and singing a song about the galaxy.	
According to Xiao Long's words, Tyler went to school 1 year earlier than William.	
Xiao Long thinks he knows who Lynbell's brother is. What should we do?	
Xiao Long won a trip around the world from a radio event!	
Xiao Long suggests that we visit the Celestial Castle, which is a place that the baby angels live.	
The opponent team barges into the field and mocks your team saying your team is better off playing foot volleyball.	
You're sick and in bed when Xiao Long and the teammates come to cheer you up. What will your response be?	
The match and the concert that Xiao Long was looking for start at the same time...	
Xiao Long wonders why Castor twitches whenever he sees Beatrice.	
MX54 Butcher is closing in on a cat with a suspicious smile.	
The match started and Xiao Long is standing still doing nothing.	
	
Elicia	
The team made it up to the semi-finals after counting the goal differences. Elicia asks how you feel. How should we answer?	
Elicia suggests that we have a team dinner to lighten things up. What will be your reaction?	
Elicia is saying that her teammates are what keeps her going.	
Elicia has shown outstanding performance on both the offensive and defensive side. She is asking for your evaluation on her plays. Let's give her an answer.	
As Elicia said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to her.	
The crowd is cheering for Elicia. Elicia seems to find this situation new and a bit uncomfortable. Let's help her out.	
Elicia is impressed by the help she received from the elementals. Let's talk to her.	
Elicia was watching penguins play soccer and suddenly decided to raise a pet penguin herself. Let's talk to her.	
The team will not have a match for some time. Elicia asks you about your plan.	
It's a very intense match and Elicia falls on the ground, but a player on the other team helps Elicia up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Elicia having an intense staring contest with the captain of the opposing team. What should we say?	
Elicia is surrounded by fans and seems to be overwhelmed. Let's talk to her.	
Elicia scored a hat trick and led the team to a complete victory! Congratulate her!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Elicia.	
Elicia falls to the ground after clashing with the opponent. What should we say to her?	
Elicia lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Elicia. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Elicia is curious and wants to take a look.	
Elicia brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
Elicia is asking you what you think is it that makes this team great. You weren't expecting this, but you should give her an answer.	
Elicia is angry because she was criticized by her performance and is asking your opinion. Let's give her an answer.	
Elicia, who has shown absolutely superb chemistry with you, is embarrassed and says she didn't do all of that because of you. What should we say?	
Elicia wants to have an academic conversation about the 5th dimension, string theory, and other infamously hard space theories. Why...?	
Elicia looks disappointed about the size of the Galaxy League. What would be an appropriate response?	
Elicia seems to be uncomfortable to hear about the love life of other teammates. Let's talk to her.	
Elicia is talking about how famous her rivals are in the Galaxy League. She seems jealous. Let's talk to her.	
Elicia is furious about how Lucian is always surrounded by girls. What should we say?	
Kirin suddenly appears, pats Elicia on the head while teasing her, and then goes away. Elicia seems angry...	
The team is at Metro City. Elicia seems to be surprised how the people of Metro City have mechanical bodies.	
Kuma is furiously chasing Ogre. Elicia seems confused.	
Elicia is spreading the happy news about her cousin having a baby. Let's congratulate her.	
The team seems very nervous facing Skalardra. What should we do?	
Elicia refuses to listen to anybody's advice saying he's the best and he doesn't need any advice. Let's talk to her.	
Elicia is interested in Selena and is asking for your opinion. What should we say?	
Elicia seems to be interested in the Micrinum from Kiri, which is said to be good for beauty and anti-aging. Let's talk to her.	
Elicia seems to be determined to crush the opposing team. Let's give her some advice.	
Elicia looks sad because she feels her friendship with a friend in a rival team is falling apart. What should we say to her?	
It's a tough match, but Elicia is standing tall and encouraging the team. What should we say to her?	
A teammate that is a former member of the Dark Sisters is down sick, suffering from the aftermath of performing exorcism. Let's talk with Elicia about what to do.	
The team made it up to the semi-finals after counting the goal differences. Elicia asks how you feel. How should we answer?	
Elicia suggests that we have a team dinner to lighten things up. What will be your reaction?	
Elicia is saying that her teammates are what keeps her going.	
Elicia has shown outstanding performance on both the offensive and defensive side. She is asking for your evaluation on her plays. Let's give her an answer.	
As Elicia said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to her.	
The crowd is cheering for Elicia. Elicia seems to find this situation new and a bit uncomfortable. Let's help her out.	
Elicia is impressed by the help she received from the elementals. Let's talk to her.	
Elicia was watching penguins play soccer and suddenly decided to raise a pet penguin herself. Let's talk to her.	
The team will not have a match for some time. Elicia asks you about your plan.	
It's a very intense match and Elicia falls on the ground, but a player on the other team helps Elicia up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Elicia having an intense staring contest with the captain of the opposing team. What should we say?	
Elicia is surrounded by fans and seems to be overwhelmed. Let's talk to her.	
Elicia scored a hat trick and led the team to a complete victory! Congratulate her!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Elicia.	
Elicia falls to the ground after clashing with the opponent. What should we say to her?	
Elicia lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Elicia. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Elicia is curious and wants to take a look.	
Elicia brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
Elicia is asking you what you think is it that makes this team great. You weren't expecting this, but you should give her an answer.	
Elicia is angry because she was criticized by her performance and is asking your opinion. Let's give her an answer.	
Elicia, who has shown absolutely superb chemistry with you, is embarrassed and says she didn't do all of that because of you. What should we say?	
Elicia wants to have an academic conversation about the 5th dimension, string theory, and other infamously hard space theories. Why...?	
Elicia looks disappointed about the size of the Galaxy League. What would be an appropriate response?	
Elicia seems to be uncomfortable to hear about the love life of other teammates. Let's talk to her.	
Elicia is talking about how famous her rivals are in the Galaxy League. She seems jealous. Let's talk to her.	
Elicia is furious about how Lucian is always surrounded by girls. What should we say?	
Kirin suddenly appears, pats Elicia on the head while teasing her, and then goes away. Elicia seems angry...	
The team is at Metro City. Elicia seems to be surprised how the people of Metro City have mechanical bodies.	
Kuma is furiously chasing Ogre. Elicia seems confused.	
Elicia is spreading the happy news about her cousin having a baby. Let's congratulate her.	
The team seems very nervous facing Skalardra. What should we do?	
Elicia refuses to listen to anybody's advice saying he's the best and he doesn't need any advice. Let's talk to her.	
Elicia is interested in Selena and is asking for your opinion. What should we say?	
Elicia seems to be interested in the Micrinum from Kiri, which is said to be good for beauty and anti-aging. Let's talk to her.	
Elicia seems to be determined to crush the opposing team. Let's give her some advice.	
Elicia looks sad because she feels her friendship with a friend in a rival team is falling apart. What should we say to her?	
It's a tough match, but Elicia is standing tall and encouraging the team. What should we say to her?	
A teammate that is a former member of the Dark Sisters is down sick, suffering from the aftermath of performing exorcism. Let's talk with Elicia about what to do.	
	
Mikel	
Mikel is worried about the team's poor performance. Let's go talk to her.	
Mikel is curious about the Galaxy League. What answer will help her?	
Mikel wants to hear about your plans on training the new players. What should we answer?	
Mikel is being sentimental about how soccer, which was supposed to be a one time thing, became her life. Let's talk with her.	
Mikel is asking what to buy in the souvenir shop. Let's give her an opinion.	
Mikel is asking who you think of first when you win a match. Let's answer.	
This match will be held on Earth. We still have some time. What do you want to do?	
Mikel says that Hiro, a member of the Einherjar, doesn't remember why he was revived.	
The rain has messed up the field and the enemy team seems to be determined to crush your team.	
Mikel seems to be curious about Bora's covered eye. What should we answer?	
Ogre's pony tail slapped Mikel in the face!	
It's a throwing chance, but the opponent team player suddenly jumps in joy saying his baby brother is born. What should you do?	
Mikel is suddenly showing massive improvement in her performance. She must've learned something during a match.	
Mikel says that the Swirlies are missing.	
Mikel says she forgot to use her skill points before entering the match. What should we say to her?	
You witness Fontus, the most violent and powerful creature in the universe, flying the night sky in a Santa costume.	
Mikel picked up a diary. It says Bell on the cover.	
Sorrow suddenly flies off after seeing a shiny object in the sky.	
Mikel is irritated because her opponent has the attribute advantage over her.	
Mikel thinks Nana on the other team actually isn't a raccoon.	
You find Mikel depressed for not playing well during the match. Let's cheer her up.	
Mikel is questioning your promise to make the best team ever. It's time to redeem yourself.	
You come across Mikel being lost and wandering around while going back to the lodging. Let's talk to her.	
Mikel is asking about your thoughts on meeting an extraterrestrial being. Let's give her an answer.	
Mikel is having trouble with continuing nightmares. Let's talk to her.	
Mikel is stressed out saying her opponent has the upper ground on every aspect. What should we do?	
Mikel seems to be satisfied with the perfect team work. Let's talk to her.	
You come across Mikel who is limping. She says it's nothing. What should we do?	
You visit Marilyn's house and see Hildegard eating ramen.	
You're watching the storm with Mikel and you spot Princess Meiran taking a walk while humming.	
Mikel looks nervous because the team will be moving to the planet where the next match will be held by taking a space shuttle without the help of Littre.	
Mikel's opponent is smiling whenever they confront each other on the field. Mikel seems to be nervous. Let's talk to her.	
Baltheon, who was upset when he was asked about his past, suddenly started to feel better when he saw Mikel.	
The members of Siena Celtron are furiously searching the stadium for Kuma.	
The game ended as a tie, but it seems that the competition between Mikel and her opponent isn't over yet.	
The team will be cleaning up the lodging. What will you have Mikel do?	
The opponent team is spreading rumors that they lost because your team played dirty. What should we do?	
A player on the other team says soccer became enjoyable after confronting Mikel. What should you say?	
Mikel is angry about the opponent's resilient attack on you. What should we say?	
Latios is chatting with Mikel after the match. Let's barge in.	
Mikel is worried about the team's poor performance. Let's go talk to her.	
Mikel is curious about the Galaxy League. What answer will help her?	
Mikel wants to hear about your plans on training the new players. What should we answer?	
Mikel is being sentimental about how soccer, which was supposed to be a one time thing, became her life. Let's talk with her.	
Mikel is asking what to buy in the souvenir shop. Let's give her an opinion.	
Mikel is asking who you think of first when you win a match. Let's answer.	
This match will be held on Earth. We still have some time. What do you want to do?	
Mikel says that Hiro, a member of the Einherjar, doesn't remember why he was revived.	
The rain has messed up the field and the enemy team seems to be determined to crush your team.	
Mikel seems to be curious about Bora's covered eye. What should we answer?	
Ogre's pony tail slapped Mikel in the face!	
It's a throwing chance, but the opponent team player suddenly jumps in joy saying his baby brother is born. What should you do?	
Mikel is suddenly showing massive improvement in her performance. She must've learned something during a match.	
Mikel says that the Swirlies are missing.	
Mikel says she forgot to use her skill points before entering the match. What should we say to her?	
You witness Fontus, the most violent and powerful creature in the universe, flying the night sky in a Santa costume.	
Mikel picked up a diary. It says Bell on the cover.	
Sorrow suddenly flies off after seeing a shiny object in the sky.	
Mikel is irritated because her opponent has the attribute advantage over her.	
Mikel thinks Nana on the other team actually isn't a raccoon.	
You find Mikel depressed for not playing well during the match. Let's cheer her up.	
Mikel is questioning your promise to make the best team ever. It's time to redeem yourself.	
You come across Mikel being lost and wandering around while going back to the lodging. Let's talk to her.	
Mikel is asking about your thoughts on meeting an extraterrestrial being. Let's give her an answer.	
Mikel is having trouble with continuing nightmares. Let's talk to her.	
Mikel is stressed out saying her opponent has the upper ground on every aspect. What should we do?	
Mikel seems to be satisfied with the perfect team work. Let's talk to her.	
You come across Mikel who is limping. She says it's nothing. What should we do?	
You visit Marilyn's house and see Hildegard eating ramen.	
You're watching the storm with Mikel and you spot Princess Meiran taking a walk while humming.	
Mikel looks nervous because the team will be moving to the planet where the next match will be held by taking a space shuttle without the help of Littre.	
Mikel's opponent is smiling whenever they confront each other on the field. Mikel seems to be nervous. Let's talk to her.	
Baltheon, who was upset when he was asked about his past, suddenly started to feel better when he saw Mikel.	
The members of Siena Celtron are furiously searching the stadium for Kuma.	
The game ended as a tie, but it seems that the competition between Mikel and her opponent isn't over yet.	
The team will be cleaning up the lodging. What will you have Mikel do?	
The opponent team is spreading rumors that they lost because your team played dirty. What should we do?	
A player on the other team says soccer became enjoyable after confronting Mikel. What should you say?	
Mikel is angry about the opponent's resilient attack on you. What should we say?	
Latios is chatting with Mikel after the match. Let's barge in.	
	
Naomi	
Naomi says she's the center of the team and asks if you agree with her. How should we answer?	
Naomi asks you about your plans after winning the Galaxy League. Let's give her a sincere answer.	
Naomi is getting suspicious about how all the Gate Keepers are in the form of different animals.	
Naomi looks excited to see a comet shower, which is a rare sight. What should we say to her?	
Naomi says she's having trouble dealing with the young players. Let's give her an answer.	
Naomi wants to know what the Swirlies really are. Give her an answer.	
Naomi is saying that the universe needs more than stars to brighten it up. Let's talk to her.	
Naomi says she was cornered by the team which was devastated by the loss streak.	
Naomi says that Bell seemed depressed when she told Bell that Minerva's throne is empty.	
Naomi seems to get along with the opponent player. What should we tell her?	
Naomi is deeply focused on Jill's diet story. What should we do?	
Naomi says she's going to meet up with Kiki and asks if you have any questions.	
